cheese	milk	origin	region	family	kind	fat	calcium	rind	texture	color	flavor	aroma	producer	synonyms	alternative_spellings	vegetarian	description
Barambah Organics Marinated Feta	pasteurized cow's milk	Australia	Brisbane	Feta	fresh soft	25.22 g/100g		rindless	"creamy, crumbly and springy"	white	"herbaceous, mild, milky"	"herbal, mild, milky"	Barambah Organics Pty Ltd.			yes	"Barambah Organics Marinated Feta is soft and creamy feta in a full flavored marinade made of high quality certified organic sunflower and olive oils. Use any leftover flavored oil to make fragrant salad dressings or marinades. Simply toss the feta into salads, spoon onto crackers or serve it alongside veggies. This herb enriched mix makes an easy vegetarian nibble. Barambah's Marinated Feta recently won Bronze at the 2014 World Cheese Awards."
Barber's 1833	pasteurized cow's milk	England	Somerset	Cheddar	"hard, artisan"			rindless	"creamy, crumbly and smooth"	ivory	"savory, sweet"	rich	AJ & RE Barber Ltd	"Barbers 1833 Cheddar , Barbers 1833 Vintage Reserve Cheddar"		yes	"Barber's 1833 Vintage Reserve Cheddar, a PDO (Protected Designation of Origin) cheese is cheddar made using milk sourced from the Holstein Friesian cows. It is produced by AJ & RE Barber Ltd. at their dairy farm located in the Somerset region, UK. This flagship cheese is selected from their cheddars having flavor at its best. The cheese is matured for 24 months during which it develops rich, intense flavor, finishing off with a smooth, creamy and crunchy texture. The cheese is ivory in color with savoury and naturally sweet notes."
Barberey	Skimmed cow's milk	France	"Troyes , Aube"		soft	20-30%		natural	"dry, smooth and soft"		"pungent, woody"	mild		"cheese Troyes, ash trojan"		no	"Barberey is soft textured cheese with a natural rind. Named after the village of Barberey near Troyes town, it is manufactured in the Champagne-Ardenne region of France. Made from the cow's skimmed milk, this cheese is coated in ash, and it contains 20 to 30% fat. The wheel comes in two forms, natural and powdered with sweet herbs. It is a lactic hand moulded curd, allowing its smooth, soft consistency and freshness. Its mild and creamy nature goes well with full-bodied red wines. Also famous as Fromage de Troyes and Troyes Cendré. ( in English, Ash Trojan or Troyes cheese)"
Barden Blue	unpasteurized cow's milk	United States	"West Pawlet, VT"	Blue	"semi-hard, artisan, blue-veined"			natural	"buttery, dense and open"	yellow	"mild, nutty, spicy, tangy"	"barnyardy, herbal"	Consider Bardwell Farm			no	"Barden Blue is a blue cheese made by Consider Bardwell Farm and cave-aged by Murray's. Aged around 4 months, the raw cow's milk cheese is dense, buttery and sparingly eyed with blue mould distributed throughout the paste in patches. It is a traditional pressed cheese, unlike many blues, allowing blueing only in places where the oxygen is able to seep in. The flavors are mild, tangy and nutty, with notes of hay and hints of barnyard. There are evident extra kicks of blue complemented by an herbaceous, peppery overtone."
Barely Buzzed	pasteurized cow's milk	United States	Utah	Cheddar	"hard, artisan"			natural	creamy and smooth	pale yellow	"butterscotch, caramel"	"aromatic, rich"	Beehive Cheese Company			yes	"Barely Buzzed is a cheddar-style, full-bodied cheese made with pasteurized Jersey milk. It is produced by Beehive Cheese Company in Utah, United States. A mixture of roasted coffee and lavender buds diluted with oil is hand-rubbed on a one-day-old cheese and allowed to mature for over 8 months in humidity controlled facility. Fully aged cheese is creamy and smooth texture with notes of butterscotch and caramel near the rind.  It goes well with full-bodied wines, ports, bourbons, ales, stouts and ciders. The cheese has won several awards, including a bronze medal at the World Cheese Awards in 2012, 1st place at the American Cheese Society competition in 2007, 2008, 2009, and 2011."
Barilotto	pasteurized buffalo's milk	Italy	Campania	Brie	"hard, soft-ripened"			washed	firm	pale yellow	"creamy, sharp"	"buttery, fresh"	Casa Madaio			no	"Barilotto meaning 'barrel' in Italian, is a cheese made by a Casa Madaio dairy farm in Cilento, Campania, Italy. It is produced by heating the whey obtained from buffalo mozzarella production. The whey is re-cooked at very high temperature and then placed into barrel-shaped moulds for draining for 8 days, and then sprinkled with salt and kept for ageing for 40 days. During ageing, the cheeses are washed and rotated which helps them dry evenly. Barilotto has a sharp taste and a firm texture with mild, delicate, creamy aroma. The smooth yet granular paste melts in the mouth instantly."
Baron Bigod	unpasteurized cow's milk	"England, Great Britain and United Kingdom"	"Bungay, Suffolk"	Brie	"soft, artisan"				"creamy, smooth, soft and soft-ripened"	yellow	"creamy, earthy, mushroomy"	"barnyardy, mushroom"	Fen Farm Dairy			no	"Baron Bigod is a creamy, white nutty-rind cheese. It is UK's only raw milk farmhouse Brie style cheese made by Jonathan and Dulcie Crickmore in Bungay, Suffolk, England. It is made from the unpasteurized milk of red and white Montbeliarde cows that graze the lush marshes of Stow Fen. The cheese is ladled only by hand and aged for up to 8 weeks in a natural, cave-like environment.A handmade cheese, Baron Bigod has a smooth, delicate silky texture and golden paste with long-lasting warm earth, farmyard and mushroom flavors."
Baronerosso di Capra	unpasteurized goat's milk	Italy	Veneto		semi-hard			washed	crumbly and firm	white	"full-flavored, sharp"	"fruity, musty"	La Casearia Carpenedo S.r.l.		Baronerosso al Barbera	no	"Baronerosso di Capra is an Italian semi-hard cheese prepared with raw goat's milk. It is a pressed, uncooked cheese aged for a minimum of 5 months during which the wheels are washed in Barbera d’Asti DOCG wine and marc for several weeks. It has a white, slightly crumbly paste enveloped by a dark purple flavored rind with a persistent winey aftertaste and aromas of must and sour cherries.Enjoy the cheese with a full-bodied red wine such as a Barbera, a Cabernet or Raboso Piave. You could also try out white wines such as Franciacorta or a Chardonnay."
Barrel Aged Feta	pasteurized goat's and sheep's milk	Greece	Mt. Vikos	Feta	"soft, artisan"	11%			creamy and crumbly	white	creamy	rich	Mt. Vikos			no	"Barrel Aged Feta is a classic Greek style feta made from a mixture of sheep's and goat's pasteurized milk, produced by Mt. Vikos, Greece. The cheese is aged in 120-pound oak barrels for about 6 months. the cheese is crumbly yet creamy in texture with rich, sweet and tangy flavor."
Barricato al Pepe	pasteurized cow's milk	Italy	Veneto		"firm, artisan"			natural	crumbly	ivory	"buttery, spicy"	"fruity, spicy"					"Barricato al Pepe is pasteurized cow’s milk cheese made by Sergio, the famed producer of Sottocenere®. The wheels are aged for 3 months before being coated with peppercorns. It is then further aged into wine barrels, giving an excellent crumbly, delicate-flavored end product. The black peppercorns add a taste without overwhelming the buttery paste.  Barricato al Pepe pairs perfectly with an off-dry Gewurtztraminer or Riesling, or a brawny Zin."
Barry's Bay Cheddar	cow's milk	New Zealand	Banks Peninsular in Canterbury	Cheddar	"hard, artisan"			cloth wrapped	creamy				Barry's Bay			no	"Barry's Bay cheese factory on the Banks Peninsula in Canterbury, New Zealand, has many award winning cheeses to its credit. It is a traditional creamery, with cheeses handcrafted in the traditional style. It is the only factory, producing cloth bound cheddar, in the whole country. The cheese is made from fine milk, sourced from local, grass-fed cows. Barry's Bay Cheddar cheese is made in large cylinders that are lined with cheese cloth. The cheese is then pressed and left for drying on the shelves. During the drying period of two to three weeks on the shelf, the cylinders are turned, until a coating similar to sandpaper, or a rind, develops on the cheese. This cheese is then waxed and left to mature further. The aging process is for 18 months, reaching which, the flavor of the cheese intensifies and develops a unique identity. Barry's Bay Cheddar cheeses differ from each other, depending upon their age and flavor."
Bartlett	unpasteurized sheep's milk	"England, Great Britain and United Kingdom"	Somerset		"soft, artisan"			mold ripened	dense and smooth	white	"buttery, milky"	"aromatic, strong"				yes	"This cheese is no longer in production. Bartlett is an unpasteurized sheep's milk cheese made by brothers James & Dave Bartlett at their farm in Somerset. It is a soft, mould-ripened cheese with a wrinkled, creamy- colored, and aromatic coat of Geotrichum candidum.  Aged for about 3-4 weeks, the cheese ripens outside-in as the moulds and yeasts digest the fats and proteins within. It has a smooth and dense paste with a complex flavor augmented by the dense richness of the sheep's milk. Flavors are a subtle balance between buttery lactic notes and savoury dried-tobacco-leaf aromas."
Basajo	unpasteurized sheep's milk	Italy	Veneto	Blue	"semi-soft, blue-veined"			natural	creamy	cream	"sharp, sweet, tangy"	"pronounced, rich"	La Casearia Carpenedo S.r.l.			no	Basajo is a creamy Italian blue cheese made from raw sheep's milk and aged in passito white wine. It has a unique melt-in-the-mouth flavor with a lingering sweetness of the wine that offsets that sharpness of blue cheese.
Baserri	sheep's milk	United States		Tomme	"semi-hard, artisan"				creamy and crumbly		"milky, tangy"	"milky, nutty"	"Barinaga Ranch, Inc."	Txiki			"A product from Barinaga Ranch located in Marshall, California, Baserri meaning farmhouse in Basque, is a raw sheep milk cheese which is aged for about 60 days. Baserri is a cheese with simple flavor and distant aroma. It has a slight salty taste with a hint of nutty flavor. This cheese has a pale appearance and has a pleasant crumbly texture which tastes delightful. Have it with a green salad, fresh fruit, or french bread. Txiki, meaning ""little"" in Basque, a smaller version of Baserri cheese has won a silver medal at the World Cheese Awards, England in 2014"
Basils Original Rauchkäse	pasteurized cow's milk	Germany			semi-soft	25.50%	700 mg/100g	natural	"compact, dense and soft"	pale yellow	"salty, smokey , spicy"	smokey	Bergader Privatkäserei GmbH	Basil's Smoked Cheese		no	"Basils Original Rauchkäse is a semi-soft cheese produced with the highest quality pasteurised cow's milk from the Bavarian Alps.  It is made according to a centuries-old process, which includes smoking the cheese over Bavarian birch and spruce wood. This unique specialty is available in various flavors. It is a completely natural cheese manufactured entirely without additives or preservatives. - Basils Original Rauchkäse: plain smoky speciality - Basils Original Rauchkäse Chilli: smoky specialty blended with spicy chillies and bell peppers - Basils Original Rauchkäse Turkey Ham: smoky specialty blended with tender bits of Bavarian turkey ham All Bergader cheeses (except Edelpilz and Bonifaz ""Wild Mushrooms"") are lactose and gluten-free."
Basing	unpasteurized goat's milk	United Kingdom	Kent		hard				crumbly		"herbaceous, smooth"					yes	"Basing is a Caerphilly-style organic cheese made from unpasteurised goat's milk at a Lower Basing Farm in Kent. It is a modern farmhouse cheese, lightly pressed to retain its moist and crumbliness. The cheese ripens within two months with mild and pleasant acidity, as well a hint of the herbaceous goat's milk. It becomes smooth and creamier as it matures. It contains vegetarian rennet, and served with Pancherenc du Vic-Bih."
Baskeriu	pasteurized sheep's milk	France	"French Basque Country, Midi-Pyrénées"		semi-soft	50%			dry and smooth		"buttery, nutty"	"buttery, nutty, rich"				yes	"The cheese, Baskeriu is manufactured in the Haute-Garonne department of Midi-Pyrénées region located in the southwest of France. Made from the high Garonne sheep's milk, this pressed and unheated cheese can be enjoyed throughout the year. The texture is semi-soft and it offers creamy and buttery flavor. It has ivory paste with slightly golden rind. The fat content is around 50 %. This delicate flavorful cheese is well worth trying with Fruity red, full-bodied red or dry fruity white wines."
Basket Cheese	pasteurized cow's milk	Middle East		Cottage	"soft, semi-soft"			rindless	chewy and supple	white	"mild, salty"	milky	"Specialty Cheese Company, Inc"			yes	"Basket cheese is an Arabic-style semi-soft cheese made from vegetable rennet and pasteurised cow milk. Molded in elegant wicker-textured baskets, this cheese comes in circular forms weighing 12-18 oz each. It is one of the top three Middle Eastern kinds of cheese sold in the United States. Since basket molds are individually crafted, it is difficult to mass-produce the cheese. Compared to a fresh basket cheese, a dry basket cheese has a slightly salty taste. It tastes awesome with tomatoes, basil, pita bread and water wheel crackers. Some people prefer to relish the taste by eating it along with jam or honey at breakfast. Since the cheese doesn’t melt away easily, many Indian cuisines use it as a replacement for paneer. The old-fashioned fruit and cheese platter also works wonders with Basket cheese. But remember to use it within six months of refrigerated life."
Basket Molded Ricotta	pasteurized cow's milk	United States	Maine	Cottage	"fresh firm, whey"			natural	crumbly and firm	white	sweet	fresh	Lakin's Gorges Cheese LLC			yes	"Basket Molded Ricotta is a whole milk, unsalted ricotta made by Lakin's Gorges Cheese. It is a fresh cheese that gets its name for the basket in which it is moulded. Creamy, sweet, this ricotta has a sliceable firm texture but is also soft enough to be blended with other ingredients. Serve with granola, crumble on salads or add to your favourite quiche recipe."
Bassigny au porto	pasteurized cow's milk	Belgium			semi-soft	45%		washed		yellow	"acidic, buttery"	aromatic		Langres		no	"Made from pasteurised cow milk, Bassigny au Porto cheese is ripened with port wine. The original cheese is called Langres. This cheese offers a strong taste and medium softness. It can be tasted with a variety of other cheeses and goes good with a powerful wine such as Banyuls or even with port wine."
Bath Blue	pasteurized cow's milk	"England, Great Britain and United Kingdom"	Bath	Blue	"soft, artisan, blue-veined"			natural	creamy and smooth	cream	"creamy, strong"	clean	Bath Soft Cheese Ltd			no	"Bath Blue, a creamy, smooth blue cheese from the Bath Soft Cheese Ltd.,  is a classic blue veined cheese made from the milk of organic cows. The cheese is ripened in traditional stone built rooms for 8-10 weeks to give it a creamy blue veined taste and clean aroma.This celebrated cheese has won Super gold award at the 2014 World Cheese Awards. It has been judged as one of the world's 62 best cheeses."
Bath Cheese	pasteurized cow's milk	England and United Kingdom	"Somerset, Bath"	Brie	soft			bloomy	creamy	ivory	"citrusy, lemony, mushroomy"	"aromatic, earthy, fresh, grassy"	Bath Soft Cheese Ltd		Bath Soft	yes	"Bath Soft cheese is a modern, farmhouse, vegetarian, soft-white cheese made from cow's milk. Produced by cheese-making veteran Graham Padfield, this brie style cheese is soft and runny with a white bloomy rind. The flavors are earthy, mushroomy and aromatic underpinned by citrusy and grassy notes. Though very like brie, it is less chalky and fresher to taste. The recipe for Bath Soft dates to 1801 at the time of Admiral Lord Nelson when he received it as a gift from his father. The 4” square cheese made with pasteurised milk comes attractively wrapped in parchment paper with a red wax seal. Bath Soft cheese pairs excellently with Champagne and Sparkling Vouvray."
Batzos	whole goat's and sheep's milk	Greece	"Central and Western Macedonia, Thessaly"		semi-hard	20%			dry	white	"piquant, salty, sour, spicy"	pleasant				no	"Since 1996, Batzos cheese has had PDO (Protected Designation of Origin) status, and since 1988, it has been safeguarded by law. Traditionally produced in the Greek regions of Thessaly and Western and Central Macedonia, Batzos is hard to semi-hard, brined, rindless cheese made from fresh or pasteurized sheep's or goat's milk or a combination of the two. The flavor of this square-shaped cheese ranges from salty and sour to slightly spicy. Batzos is Greece’s oldest hard cheese."
Bavaria blu	pasteurized cow's milk	Germany		Blue	"soft, blue-veined"	43.3 g/100g	450 mg/100g	mold ripened	creamy and soft	cream	"creamy, sharp, strong"	"aromatic, rich"	Bergader Privatkäserei GmbH	"Bavaria blu – Mild & Blue, Bavaria blu – Classic Blue, Bavaria blu - Rich & Creamy, Bavaria blu - Tasty Blue"		no	"Bavaria blu is a blue mould cheese introduced by Bergader in 1972. It is produced with the highest quality pasteurised cow's milk from the Bavarian Alps. The unique taste of the creamy soft cheese is all thanks to the juicy, fragrant grass the cows are fed on. It is entirely handmade without additives or preservatives and it is lactose- and gluten-free. Bavaria blu – Rich & Creamy -  This creamy soft cheese with a subtle white and blue mould goes well with snacks and hot dishes. The cheese tastes great on its own, but you could also try pairing it with mango chutney, aromatic red wines such as Dornfelder or Lagrein, or whites such as Riesling or Silvaner. The other versions are:  Bavaria blu – Tasty Blue Bavaria blu – Classic Blue Bavaria blu – Mild & Blue"
Bavarian Bergkase	unpasteurized cow's milk	Germany	Allgaeu Alps		"hard, artisan"	62%		natural	"crumbly, firm and open"	pale yellow	"full-flavored, nutty, spicy"	"aromatic, rich"		"Allgauer Bergkase, Allgäuer Bergkäse DOP"	Bawarii Bergkäse	no	"Bavarian Bergkase (Bawarii Bergkäse), also known as Allgauer Bergkase, is a hard mountain cheese. This ""PDO"" (Protected Designation of Origin) cheese from Germany is also famous as the smaller brother of the popular Allgauer Emmentaler. As required by PDO regulations, Allgauer Bergkase is a handmade, artisanal cheese made from raw, silage-free milk of cows grazing in the Allgäu Mountains of southwest Germany. The cheese is aged for a minimum of 4 months and the mild and nutty taste becomes stronger with ageing. The fat content is between 45 and 50%. Allgäuer Bergkäse is mostly used as a topping for bread, salads and casseroles."
Bayley Hazen Blue	unpasteurized cow's milk	United States	"Greensboro, VT"	Blue	"semi-hard, artisan, blue-veined"			natural	"creamy, dense and firm"	cream	"buttery, grassy, licorice, nutty, tangy"	"grassy, spicy, strong"	Jasper Hill Farm			no	"Bayley Hazen Blue is a buttery, natural-rinded blue cheese made from high-quality whole raw cow's milk. It is a Jasper Hill Farm product, named after an old military road commissioned by George Washington across the Northeast Kingdom. Brothers Andy and Mateo Kehler who own the farm, developed the recipe for Bayley Hazen Blue by altering the shape and ageing process of a Devon Blue recipe from England so that the cheese rind will hold up in usual retail conditions.The texture of Bayley Hazen Blue is firm and slightly dry than other blues. However, it is also dense and creamy, with well-distributed blue veins. The cream-colored paste is characterized by the deep, dark heartiness of pepper, tobacco and roasted hazelnuts set off by subdued grassy, nutty flavors in the milk.Bayley Hazen Blue tastes beautiful with a glass of fruity red dessert wine, toasty Imperial Stout, or a chunk of dark chocolate. Pair it with a spinach salad, walnuts, and dried tart cherries to accentuate its flavor. This celebrated cheese has won many international awards including Super gold at the 2014 World Cheese Awards. It has been judged as one of the world's 62 best cheeses."
Baylough	unpasteurized cow's milk	Ireland	"County Tipperary, Clogheen"	Cheddar	"hard, artisan"			waxed	close and firm	yellow	"garlicky, herbaceous, mild, smokey"	"herbal, mild"	BAY LOUGH CHEESE		Bay Lough	yes	"Bay Lough is a cow’s milk cheese invented by husband and wife, Dick and Anne Keating. With no experience in cheese making, the couple struggled a lot before they could produce any palatable cheese. Over time, improved efforts and stovetop experiments helped Anne discover one of the finest Irish cheeses of all time; Bay Lough Cheddar. Bay Lough cheeses are cheddar-style cheeses made using vegetarian rennet and unpasteurised milk. The couple produces several varieties of this cheese, including Bay Lough Cheddar, Smoked, Garlic & Herb, and Smoked Herb & Garlic. All assortments are firm and light yellow, with closed texture, underpinned by smokiness or/and flavors of herbs & spices. To denote the variety, the cheese cylinders are coated in black, orange, yellow or brown wax. The maturity period for the cheese is 3-4 months and is available throughout the year."
Beach Box Brie	cow's milk	Australia	"Mornington Peninsula, Melbourne"	Brie	artisan			ash coated	creamy	golden yellow	creamy	rich	BoatShed Cheese			yes	"Beach Box Brie is an artisan cheese made from Jersey milk made by BoatShed Cheese based in Mornington Peninsula, Melbourne, Australia. During maturation, at the age of two weeks it is rolled in ash that gives it a grey rind. The cheese becomes delicious and oozy with a golden interior as it ages."
Bear Hill	unpasteurized sheep's milk	United States	Vermont		"semi-hard, smear-ripened"			washed	smooth	pale yellow	"fruity, mild, milky, nutty, sweet"		Grafton Village Cheese Company				"Bear Hill is a washed-rind alpine style cheese, made with 100% sheep milk by the Grafton Village Cheese Company in Vermont. Named for the bluff overlooking Grafton Village, the Bear Hill is aged for 5 months to produce a mild, milky, nutty flavor with a hint of fruity sweetness. This original American cheese pairs beautifully with many different beers and wines such as Alsace Riesling, a Pinot Blanc, or a Gruner Veltliner."
Beaufort	unpasteurized cow's milk	France	"Savoie, French Alps"	Gruyere	firm	34%			creamy and smooth	pale yellow	strong	"aromatic, pungent"				no	"This remarkable cheese was already known in the time of the Romans. It takes about 500 litres (130 gallons) of milk to make a Beaufort of 40 - 45 kg. The cheese is made from the milk given by the mahogany-colored Beaufort cows, called the Tarines or Tarentaises. This ancient mountain breed originally came from the Indo-Asian continent. Beaufort cheeses come in several versions, Beaufort d’été (summer Beaufort), Beaufort chalet d’alpage and Beaufort d'hiver (winter Beaufort) which is made in the mountain chalets."
Beaumont	unpasteurized cow's milk	France	 Rhône-Alpes		semi-soft	50%		washed	creamy and smooth	pale yellow		"barnyardy, earthy, mild, nutty, rich"					"From the Rhône-Alpes region of southeastern France, named after the Rhône River and the Alps mountain range, Beaumont is an exclusively produced speciality cheese. Tarnish uncooked rind and many closely arranged little eyes inside the cheese. It is made from cow’s milk. This ivory colored cheese offers a characteristic mild and nutty flavor. After the maturation period of six months, it gets semi-soft consistency and around 50% of fat content. Flattened disc shape with surface moulds. Great with Crepy, Rpaille and Roussette or any light fruity red and full-bodied red wines."
Beauvoorde	cow's milk	Belgium	Flanders		semi-hard			natural	creamy and firm	yellow	mild	spicy					"Beauvoorde is a Belgian semi-hard cheese made from cow's milk. It was first created in the 90s by Arthur Djes, an innkeeper from the village of Beauvoorde in western Flanders. Beauvoorde has a mild flavor and spicy aroma with a distinct hexagonal shape and grey, natural rind. Its pate is yellow, firm and creamy when young but deepens with age."
Beecher’s Flagship	pasteurized cow's milk	United States	"Seattle, Washington"	Cheddar	"semi-hard, artisan"			cloth wrapped	creamy and crumbly	yellow	"creamy, full-flavored, nutty"		Beecher's	"Yule Käse, Flagship Reserve"		yes	"Beecher's Flagship is an American award-winning cheese handmade at the Pike Place market in Seattle. The semi-hard cow's milk cheese is left to cave age for at least 15 months to develop a uniquely robust, nutty flavor and distinctive crumble.Flagship Reserve is a special version, which uses only last curds of the milk when its composition is just right. It is richer in taste & texture with a clean and creamy finish. In addition, the wheels are bandaged in cheesecloth and open-aged for over a year to allow optimum moisture loss during ageing, focusing on the rich flavor with a long finish.Beecher's Flagship is an artisanal cheese that is served best on a cheese plate. Crumble into an omelette or frittata or add to make your favourite Mac & Cheese. Yule Käse is a unique version of Flagship Reserve cheese. The cheese is clothbound and aged for 13 months in open-air. In addition, it is further aged in red wine and blackberry honey that gives nutty and caramel flavor with hints of honey and berries."
Beehive Fresh	pasteurized cow's milk	United States	Utah	Mozzarella	"fresh soft, artisan"				buttery and soft	pale yellow	"buttery, mild"	"buttery, fresh, mild"	Beehive Cheese Company			yes	"This cheese is currently unavailable on official site. Beehive Fresh is a mozzarella style, high-moisture cheese made with pasteurized Jersey milk. It is produced by Beehive Cheese Company in Utah, United States. This mild and buttery cheese can be spread easily because of its high moisture content. It pairs well with Medium-bodied red wines, citrusy white wines, Belgian-style white beer. Enjoy the cheese with fresh tomato, pizza, lasagna and Mexican dishes."
Beemster 2% Milk	pasteurized cow's milk	"Canada, Denmark, France, Germany, Netherlands and United States"			semi-soft	8%			smooth		nutty	"aromatic, floral, fruity"	"Beemster Cheese, CONO Kaasmakers / Beemster"			no	"Beemster 2% Milk is made using 2% milk and has less fat than other Dutch aged cheeses. It is a healthier choice with great flavor but reduced fat. Enjoy the nutty taste and fresh floral aroma of the cheese with salads, tacos, and sandwiches. The cheese is lactose & gluten free and boasts a high content of calcium (29%)."
Beemster Aged	pasteurized cow's milk	Netherlands		Gouda	hard			natural	"crystalline, firm and smooth"	yellow	"full-flavored, smooth, spicy, strong"	rich	CONO Kaasmakers / Beemster	Beemster Old		no	"Beemster Aged is a rich Dutch cheese made from pasteurised cow's milk. It is a type of gourmet Gouda, matured for no less than 18 months on traditional wooden boards in Beemster's historic warehouses. This cheese has a spicy, strong yet well balanced flavor, as the cows are fed faraway from any of the industrial area in the salty North Sea meadows. Its profound, complex taste is underlined by a smooth, rich feel. Moreover, it has 20% less salt than other Dutch cheeses. The pate is firm & bold and can be cut very easily without crumbling."
Beemster Classic	pasteurized cow's milk	Netherlands		Gouda	semi-hard			natural	"creamy, firm and smooth"	yellow	"burnt caramel, salty, sharp, sweet"	"buttery, nutty, rich"	Beemster Cheese			no	"This is a very popular Dutch cheese made from pasteurised cow's milk. It was the first cheese from Beemster, which was introduced in the United States, and nowadays, it has become one of the best-selling cheeses. This extra-aged Gouda is manufactured in the province of Northern Holland, which is well known for its rich milk and fertile grazing land. Matured for at least 18 months, it offers a wonderfully complex taste. Upon maturing, the cheese develops a beautiful, soft caramel color and a strong aroma with a sweet finish. Beemster Classic can be used in sandwiches and goes perfectly with a wide variety of wines. Beemster Classic won a Super Gold medal at the 2014 World Cheese Awards. It is declared one of the world's 62 best kinds of cheese."
Beemster Extra Aged (XO)	pasteurized cow's milk	Netherlands		Gouda	hard			natural	"brittle, crumbly and grainy"	golden yellow	"butterscotch, nutty"	aromatic	"Beemster Cheese, CONO Kaasmakers / Beemster"	"Beemster XO, Beemster X-O, Beemster Extra Old"		no	"Beemster Extra Aged (X-O) is a rich Dutch cheese made from pasteurised cow's milk. It is an extremely old cheese, matured for no less than 26 months in Beemster's historic warehouses. The matured cheese develops deep, long-lasting flavors of butterscotch, whiskey and pecan. Its pate is deep golden with a crumbly and granular texture. Moreover, it has 20% less salt than other Dutch cheeses. Sample this cheese with French or Italian pumpernickel or rye bread as well as fruits like grapes, pears, pineapple and cherries. This extra hard cheese goes well with Dry reds, Dry whites and most dessert wines."
Beemster Graskaas	pasteurized cow's milk	Netherlands		Gouda	semi-hard			natural	"creamy, open and smooth"	yellow	full-flavored	rich	"Beemster Cheese, CONO Kaasmakers / Beemster"			no	"Beemster Graskaas is a very special and seasonal cheese produced only in the summer season. This unique Dutch cheese is made only from the milk of the Beemster cows, which are fed on the young spring fodder. Milk, taken during this specific period, is the creamiest milk of the year, which accords the cheese a rich and creamy consistency along with a deep flavor. Beemster Graskaas is medium firm in texture with a green inedible rind. Produced in limited quantities, it is matured for one-month before being sold in the market. Beemster produces only 2000 wheels of Graskaas and 1000 of them are exported to other countries for sale."
Beenleigh Blue	pasteurized sheep's milk	England and United Kingdom	Devon	Blue	"soft, blue-veined"	45-50%		natural	"crumbly, dense and smooth"	ivory	"burnt caramel, salty, spicy"	nutty	Ticklemore Cheese Dairy			yes	"Beenleigh Blue is a modern, farmhouse, unpasteurised, organic, vegetarian, blue cheese made from sheep's milk. Produced by Ben Harris of Ticklemore Cheese Company, the cheese is based on a Roquefort recipe invented by Robin Congden, the founder of the company. Beenleigh Blue is one of the few blue sheep’s milk cheeses produced in Britain. It is made between January and July using the milk of Dorset-Friesland cross sheep from the farm of Terry Perkins, located in Cornwall. Shaped into a cylinder, the cheese has a rough, crusty, natural rind which is slightly sticky with some patches of blue, gray and white moulds. It is moist, yet crumbly, with the blue appearing as bold blue-green streaks through the white interior. The flavor is steely blue, with the burnt caramel sweetness, characteristic of fine sheep's milk. It melts on the palate, disclosing its strong, spicy character. A wonderful companion to Mead, Port, Cabernet Merlot or Sweet Cider. The cheese ripens in six months and has a fat content of 45 - 50 per cent."
Bega Processed Cheddar	pasteurized cow's milk	Australia		Cheddar	soft				creamy and smooth	yellow	creamy		Bega Cheese Limited				"Bega Processed Cheddar is a product of Bega Cheese Limited, Australia. They are available in a variety of shapes and sizes. Bega Slices are flavorsome processed cheese slices with a smooth and creamy texture and rich cheesy flavor. They come individually wrapped to stay fresh and are ideal for the entire family. Each slice contains 62-65% real cheese. Bega Slices are also available in different flavors (pepper, smoked), reduced fat and fat-free versions.Bega Processed Cheddar comes in small and lightweight blocks and cans making it great for emergency kits or easy and compact to store."
Bel Ceillo	cow's milk	United States	NY	Parmesan	"semi-hard, artisan"			natural	creamy and crumbly	pale yellow	sharp	pungent	Muranda Cheese Company				Muranda Cheese Company's Bel Ceillo is a semi-hard blend of Asiago and Provolone. This Italian-style cheese can be used as an appetizer or substituted for Parmesan. Enjoy it with any deep red wine.
Bel Paese	pasteurized cow's milk	Italy	Lombardy		semi-soft			plastic	creamy and smooth	pale yellow	"buttery, mild, milky, sweet"	pleasant	Galbani			no	"Bel Paese, meaning ‘beautiful country’ in Italian, is a semi-soft cheese from the Lombardy region. It was formulated by Egidio Galbani in 1906 who wanted to invent a product that would compete with French Alpine cheeses. The name is derived from a book by Abbot Antonio Stoppani ""Il Bel Paese"", published in 1873. The cheese has a milky aroma infused with a mild buttery flavor. The taste can be compared with Mozzarella and St. Paulin. The pale yellow cheese may occasionally be riddled with “eyes”. The cheese is hard to spread but soft enough to slice. It is wrapped in a waxed, foil or plastic rind. Bel Paese takes 6 to 8 weeks to mature and comes in several different sizes from small buttons to large 5lb wheels. An original Bel Paese can be identified by a map of Italy and a picture of Antonio Stoppani on the label of the cheese. The American version has a map of United States on the label. The Italian cheese goes well with fruits like apples, pears and figs. As it has good melting capacity, it is often used in casseroles, hot Panini, focaccio or on a pizza. It can be eaten with fruity wines, such as dry red or white."
